Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:16:54 UTC 2014,36.9,0.12,0.1868,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:13 UTC 2014,36.9,0.12,0.1868,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:26 UTC 2014,36.9,0.12,0.1868,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:38 UTC 2014,41.3,0.12,0.1868,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:49 UTC 2014,41.3,0.12,0.1868,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:18:00 UTC 2014,36,0.12,0.1868,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:18:11 UTC 2014,36,0.12,0.1868,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:18:25 UTC 2014,27.3,0.12,0.1868,1,,
Wed Feb 12 16:18:31 UTC 2014,27.3,0.12,0.1868,1,,
Wed Feb 12 16:18:39 UTC 2014,27.3,0.12,0.1868,1,,
Wed Feb 12 16:18:45 UTC 2014,35.8,0.12,0.1868,1,,
Wed Feb 12 16:18:52 UTC 2014,35.8,0.12,0.1868,1,,
Wed Feb 12 16:19:05 UTC 2014,35.8,0.12,0.1868,1,,
Wed Feb 12 16:19:15 UTC 2014,35.8,0.12,0.1868,1,,
Wed Feb 12 16:19:29 UTC 2014,31.6,0.12,0.1868,1,,
Wed Feb 12 16:19:48 UTC 2014,31.6,0.12,0.1868,1,,
Wed Feb 12 16:19:54 UTC 2014,22.6,0.12,0.1868,1,,
Wed Feb 12 16:20:06 UTC 2014,22.6,0.12,0.1868,1,,
Wed Feb 12 16:20:20 UTC 2014,22.6,0.12,0.1868,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:20:33 UTC 2014,32.2,0.12,0.1868,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:20:51 UTC 2014,27.6,0.12,0.1868,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:01 UTC 2014,27.6,0.12,0.1868,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:15 UTC 2014,30.1,0.12,0.1868,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:29 UTC 2014,30.1,0.12,0.1868,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:40 UTC 2014,33.9,0.12,0.1868,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:52 UTC 2014,33.9,0.12,0.1868,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:04 UTC 2014,33.9,0.12,0.1868,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:14 UTC 2014,33.9,0.12,0.1868,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:27 UTC 2014,38,0.12,0.1869,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:39 UTC 2014,38,0.12,0.1869,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:50 UTC 2014,35,0.12,0.1868,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:23:02 UTC 2014,35,0.12,0.1868,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:23:13 UTC 2014,35,0.12,0.1868,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:23:29 UTC 2014,41.2,0.12,0.1868,1,,
Wed Feb 12 16:23:39 UTC 2014,41.2,0.12,0.1868,1,,
Wed Feb 12 16:23:48 UTC 2014,41.8,0.12,0.1868,1,,
Wed Feb 12 16:24:04 UTC 2014,41.2,0.12,0.1871,1,,
Wed Feb 12 16:24:18 UTC 2014,41.2,0.12,0.1871,1,,
Wed Feb 12 16:24:33 UTC 2014,41.2,0.12,0.1871,1,,
Wed Feb 12 16:24:46 UTC 2014,34.1,0.12,0.1871,1,,
Wed Feb 12 16:24:54 UTC 2014,45.4,0.12,0.1871,1,,
Wed Feb 12 16:25:11 UTC 2014,45.4,0.12,0.1871,1,,
Wed Feb 12 16:25:20 UTC 2014,45.4,0.12,0.1871,1,,
Wed Feb 12 16:25:35 UTC 2014,45.4,0.12,0.1871,1,,
Wed Feb 12 16:25:43 UTC 2014,39,0.12,0.1871,1,,
Wed Feb 12 16:25:58 UTC 2014,39,0.12,0.1871,1,,
Wed Feb 12 16:26:10 UTC 2014,39,0.12,0.1871,1,,
Wed Feb 12 16:26:20 UTC 2014,39.3,0.12,0.1871,1,,
Wed Feb 12 16:26:33 UTC 2014,39.3,0.12,0.1871,1,,
Wed Feb 12 16:26:41 UTC 2014,32.4,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:00 UTC 2014,32.4,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:14 UTC 2014,29.3,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:25 UTC 2014,28.6,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:38 UTC 2014,28.6,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:51 UTC 2014,28.6,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:04 UTC 2014,28.6,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:14 UTC 2014,34.4,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:28 UTC 2014,28.2,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:42 UTC 2014,28.2,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:53 UTC 2014,28.2,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:04 UTC 2014,28.2,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:19 UTC 2014,26.7,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:31 UTC 2014,31.8,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:43 UTC 2014,25.5,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:30:01 UTC 2014,33.1,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:30:13 UTC 2014,33.1,0.12,0.1871,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:30:30 UTC 2014,33.1,0.12,0.1871,1,,
Wed Feb 12 16:30:37 UTC 2014,48.4,0.12,0.1871,1,,
Wed Feb 12 16:30:51 UTC 2014,48.4,0.12,0.1871,1,,
Wed Feb 12 16:31:02 UTC 2014,39.9,0.12,0.1871,1,,
Wed Feb 12 16:31:15 UTC 2014,39.9,0.12,0.1871,1,,
Wed Feb 12 16:31:22 UTC 2014,42.2,0.12,0.1875,1,,
Wed Feb 12 16:31:32 UTC 2014,36.7,0.12,0.1875,1,,
Wed Feb 12 16:31:51 UTC 2014,36.7,0.12,0.1875,1,,
Wed Feb 12 16:31:57 UTC 2014,31,0.12,0.1875,1,,
Wed Feb 12 16:32:14 UTC 2014,31,0.12,0.1875,1,,
Wed Feb 12 16:32:30 UTC 2014,31,0.12,0.1875,1,,
Wed Feb 12 16:32:38 UTC 2014,41.8,0.12,0.1874,1,,
Wed Feb 12 16:32:54 UTC 2014,38.2,0.12,0.1874,1,,
Wed Feb 12 16:33:11 UTC 2014,38.2,0.12,0.1874,1,,
Wed Feb 12 16:33:26 UTC 2014,42.4,0.12,0.1875,1,,
Wed Feb 12 16:33:36 UTC 2014,42.4,0.12,0.1875,1,,
Wed Feb 12 16:33:46 UTC 2014,37.2,0.12,0.1875,1,,
Wed Feb 12 16:34:00 UTC 2014,37.2,0.12,0.1875,1,,
Wed Feb 12 16:34:09 UTC 2014,40,0.12,0.1875,1,,
Wed Feb 12 16:34:23 UTC 2014,40,0.12,0.1875,1,,
Wed Feb 12 16:34:39 UTC 2014,35.2,0.12,0.1875,1,,
Wed Feb 12 16:34:47 UTC 2014,45.5,0.12,0.1876,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:09 UTC 2014,45.5,0.12,0.1876,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:21 UTC 2014,39.3,0.12,0.1875,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:35 UTC 2014,46.1,0.12,0.1875,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
