Time ,cost ,responseTime ,throughput ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:16:49 UTC 2014,0.36,7,201,3,,
Wed Feb 12 16:16:56 UTC 2014,0.36,8.3333,186,3,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:12 UTC 2014,0.36,8.3333,186,3,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:23 UTC 2014,0.36,8.3333,186,3,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:34 UTC 2014,0.36,8.3333,186,3,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:46 UTC 2014,0.36,8,194,3,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:57 UTC 2014,0.36,8,0,3,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:18:08 UTC 2014,0.36,0,0,3,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:18:20 UTC 2014,0.48,0,0,4,,
Wed Feb 12 16:18:30 UTC 2014,0.48,0,0,4,,
Wed Feb 12 16:18:42 UTC 2014,0.48,1.6667,68,4,,
Wed Feb 12 16:18:55 UTC 2014,0.48,1.6667,68,4,,
Wed Feb 12 16:19:03 UTC 2014,0.48,1.6667,68,4,,
Wed Feb 12 16:19:18 UTC 2014,0.48,1.6667,68,4,,
Wed Feb 12 16:19:26 UTC 2014,0.48,-0.25,-1,4,,
Wed Feb 12 16:19:39 UTC 2014,0.48,-0.25,-1,4,,
Wed Feb 12 16:19:52 UTC 2014,0.48,-0.25,-1,4,,
Wed Feb 12 16:19:58 UTC 2014,0.48,0,0,4,,
Wed Feb 12 16:20:13 UTC 2014,0.48,0,0,4,,
Wed Feb 12 16:20:24 UTC 2014,0.48,3.25,23,4,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:20:47 UTC 2014,0.48,3.25,167,4,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:20:59 UTC 2014,0.48,5.25,167,4,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:10 UTC 2014,0.48,5.25,167,4,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:21 UTC 2014,0.48,0,0,4,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:33 UTC 2014,0.48,2.5,21,4,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:51 UTC 2014,0.48,2.5,21,4,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:05 UTC 2014,0.48,2.5,21,4,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:23 UTC 2014,0.48,8.75,242,4,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:37 UTC 2014,0.48,8.75,242,4,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:48 UTC 2014,0.48,8.25,201,4,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:23:08 UTC 2014,0.48,8.25,201,4,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:23:17 UTC 2014,0.36,6,185,3,,
Wed Feb 12 16:23:34 UTC 2014,0.36,6,185,3,,
Wed Feb 12 16:23:40 UTC 2014,0.36,7.6667,289,3,,
Wed Feb 12 16:23:57 UTC 2014,0.36,7.6667,289,3,,
Wed Feb 12 16:24:09 UTC 2014,0.36,6.6667,175,3,,
Wed Feb 12 16:24:27 UTC 2014,0.36,6.6667,175,3,,
Wed Feb 12 16:24:33 UTC 2014,0.36,6.6667,175,3,,
Wed Feb 12 16:24:43 UTC 2014,0.36,5.6667,165,3,,
Wed Feb 12 16:24:57 UTC 2014,0.36,5.6667,165,3,,
Wed Feb 12 16:25:07 UTC 2014,0.36,5.3333,238,3,,
Wed Feb 12 16:25:12 UTC 2014,0.36,6.3333,192,3,,
Wed Feb 12 16:25:28 UTC 2014,0.36,6.3333,192,3,,
Wed Feb 12 16:25:37 UTC 2014,0.36,5.3333,216,3,,
Wed Feb 12 16:25:51 UTC 2014,0.36,5.3333,216,3,,
Wed Feb 12 16:25:59 UTC 2014,0.36,5.3333,216,3,,
Wed Feb 12 16:26:09 UTC 2014,0.36,5.3333,216,3,,
Wed Feb 12 16:26:22 UTC 2014,0.36,6,164,3,,
Wed Feb 12 16:26:33 UTC 2014,0.36,6,164,3,,
Wed Feb 12 16:26:41 UTC 2014,0.36,0,0,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:00 UTC 2014,0.36,0,0,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:16 UTC 2014,0.36,0,0,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:28 UTC 2014,0.36,0,0,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:40 UTC 2014,0.36,0,0,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:50 UTC 2014,0.36,0,0,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
