Time ,cost ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:17:28 UTC 2014,0.12,194,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:40 UTC 2014,0.12,190,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:48 UTC 2014,0.12,190,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:18:00 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:18:09 UTC 2014,0.12,0,1,,
Wed Feb 12 16:18:26 UTC 2014,0.12,0,1,,
Wed Feb 12 16:18:33 UTC 2014,0.12,0,1,,
Wed Feb 12 16:18:51 UTC 2014,0.12,0,1,,
Wed Feb 12 16:19:06 UTC 2014,0.12,0,1,,
Wed Feb 12 16:19:14 UTC 2014,0.12,0,1,,
Wed Feb 12 16:19:29 UTC 2014,0.12,0,1,,
Wed Feb 12 16:19:46 UTC 2014,0.12,0,1,,
Wed Feb 12 16:19:55 UTC 2014,0.12,0,1,,
Wed Feb 12 16:20:05 UTC 2014,0.12,0,1,,
Wed Feb 12 16:20:21 UTC 2014,0.12,0,1,,
Wed Feb 12 16:20:28 UTC 2014,0.12,107,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:20:41 UTC 2014,0.12,107,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:20:52 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:02 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:18 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:30 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:44 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:56 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:06 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:21 UTC 2014,0.12,37,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:33 UTC 2014,0.12,37,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:47 UTC 2014,0.12,197,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:57 UTC 2014,0.12,197,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:23:09 UTC 2014,0.12,197,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:23:18 UTC 2014,0.12,197,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:23:32 UTC 2014,0.12,350,1,,
Wed Feb 12 16:23:45 UTC 2014,0.12,33,1,,
Wed Feb 12 16:23:54 UTC 2014,0.12,273,1,,
Wed Feb 12 16:24:13 UTC 2014,0.12,273,1,,
Wed Feb 12 16:24:22 UTC 2014,0.12,273,1,,
Wed Feb 12 16:24:36 UTC 2014,0.12,269,1,,
Wed Feb 12 16:24:53 UTC 2014,0.12,166,1,,
Wed Feb 12 16:25:12 UTC 2014,0.12,166,1,,
Wed Feb 12 16:25:19 UTC 2014,0.12,78,1,,
Wed Feb 12 16:25:35 UTC 2014,0.12,78,1,,
Wed Feb 12 16:25:42 UTC 2014,0.12,139,1,,
Wed Feb 12 16:25:48 UTC 2014,0.12,139,1,,
Wed Feb 12 16:25:54 UTC 2014,0.12,139,1,,
Wed Feb 12 16:26:06 UTC 2014,0.12,139,1,,
Wed Feb 12 16:26:13 UTC 2014,0.12,139,1,,
Wed Feb 12 16:26:19 UTC 2014,0.12,32,1,,
Wed Feb 12 16:26:28 UTC 2014,0.12,32,1,,
