Time ,cpu_idle ,connectionRate ,instance ,pendingRequests ,throughput ,responseTime , ongoingAction, targetedNodeID
1423143230673,90.8,0.0,1.0,11.0,25.0,1007.0,EventProcessingUnit,ScaleOut,
1423143235672,90.7,0.0,1.0,46.0,1.0,504.0,EventProcessingUnit,ScaleOut,
1423143240675,90.7,0.0,1.0,12.0,31.0,1123.0,EventProcessingUnit,ScaleOut,
1423143245675,90.7,0.0,1.0,24.0,18.0,671.0,EventProcessingUnit,ScaleOut,
1423143250683,90.7,0.0,1.0,36.0,11.0,769.0,EventProcessingUnit,ScaleOut,
1423143255697,90.7,0.0,1.0,2.0,36.0,1158.0,EventProcessingUnit,ScaleOut,
1423143260677,90.7,0.0,1.0,37.0,6.0,543.0,EventProcessingUnit,ScaleOut,
1423143265688,90.7,0.0,1.0,22.0,25.0,953.0,EventProcessingUnit,ScaleOut,
1423143270679,90.7,0.0,1.0,17.0,20.0,865.0,EventProcessingUnit,ScaleOut,
1423143275684,90.7,0.0,1.0,43.0,4.0,636.0,EventProcessingUnit,ScaleOut,
1423143280684,90.7,0.0,1.0,7.0,36.0,1152.0,EventProcessingUnit,ScaleOut,
1423143285685,90.7,0.0,1.0,31.0,12.0,594.0,EventProcessingUnit,ScaleOut,
1423143290698,90.7,0.0,1.0,28.0,16.0,942.0,EventProcessingUnit,ScaleOut,
1423143295721,90.7,0.0,1.0,10.0,30.0,924.0,EventProcessingUnit,ScaleOut,
1423143300699,90.7,0.0,1.0,44.0,2.0,493.0,EventProcessingUnit,ScaleOut,
1423143305695,90.7,0.0,1.0,14.0,28.0,1137.0,EventProcessingUnit,ScaleOut,
1423143310707,90.7,0.0,1.0,23.0,20.0,649.0,EventProcessingUnit,ScaleOut,
1423143315696,90.7,0.0,1.0,39.0,7.0,723.0,EventProcessingUnit,ScaleOut,
1423143320753,90.7,0.0,1.0,1.0,37.0,1236.0,EventProcessingUnit,ScaleOut,
1423143325733,89.4,0.0,1.0,36.0,9.0,543.0,EventProcessingUnit,ScaleOut,
1423143330740,89.4,0.0,1.0,22.0,23.0,991.0,EventProcessingUnit,ScaleOut,
1423143335747,89.5,0.0,1.0,44.0,4.0,598.0,EventProcessingUnit,ScaleOut,
1423143340754,89.5,0.0,1.0,44.0,4.0,598.0,EventProcessingUnit,ScaleOut,
1423143345756,89.5,0.0,1.0,29.0,14.0,595.0,EventProcessingUnit,ScaleOut,
1423143350760,89.5,0.0,1.0,31.0,14.0,879.0,EventProcessingUnit,ScaleOut,
1423143355769,89.5,0.0,1.0,31.0,14.0,879.0,EventProcessingUnit,ScaleOut,
1423143360770,89.5,0.0,1.0,42.0,3.0,499.0,EventProcessingUnit,ScaleOut,
1423143365764,89.5,0.0,1.0,18.0,28.0,1010.0,EventProcessingUnit,ScaleOut,
1423143370773,89.5,0.0,1.0,18.0,28.0,1010.0,EventProcessingUnit,ScaleOut,
1423143375782,89.5,0.0,1.0,19.0,21.0,753.0,EventProcessingUnit,ScaleOut,
1423143380770,89.5,0.0,1.0,3.0,34.0,1295.0,EventProcessingUnit,ScaleOut,
1423143385783,89.5,0.0,1.0,3.0,34.0,1295.0,EventProcessingUnit,ScaleOut,
1423143390774,89.5,0.0,1.0,35.0,7.0,561.0,EventProcessingUnit,ScaleOut,
1423143395774,85.9,0.0,1.0,11.0,26.0,932.0,EventProcessingUnit,ScaleOut,
1423143400775,85.9,0.0,1.0,45.0,1.0,537.0,EventProcessingUnit,ScaleOut,
1423143405779,85.9,0.0,1.0,45.0,1.0,537.0,EventProcessingUnit,ScaleOut,
1423143410782,89.4,0.0,1.0,25.0,12.0,731.0,EventProcessingUnit,ScaleOut,
1423143415785,89.4,0.0,1.0,35.0,12.0,775.0,EventProcessingUnit,ScaleOut,
1423143420792,89.4,0.0,1.0,2.0,38.0,1100.0,EventProcessingUnit,ScaleOut,
1423143425799,89.4,0.0,1.0,37.0,7.0,525.0,EventProcessingUnit,ScaleOut,
1423143430808,90.6,0.0,1.0,22.0,22.0,1018.0,EventProcessingUnit,ScaleOut,
1423143435817,90.6,0.0,1.0,16.0,20.0,885.0,EventProcessingUnit,ScaleOut,
1423143440843,90.6,0.0,1.0,43.0,6.0,618.0,EventProcessingUnit,ScaleOut,
1423143445831,90.6,0.0,1.0,7.0,38.0,1098.0,EventProcessingUnit,ScaleOut,
1423143450832,90.6,0.0,1.0,30.0,10.0,638.0,EventProcessingUnit,ScaleOut,
1423143455837,90.6,0.0,1.0,30.0,10.0,638.0,EventProcessingUnit,ScaleOut,
1423143460844,90.6,0.0,1.0,30.0,13.0,923.0,EventProcessingUnit,ScaleOut,
1423143465837,90.6,0.0,1.0,42.0,2.0,518.0,EventProcessingUnit,ScaleOut,
1423143470838,89.5,0.0,1.0,17.0,25.0,1115.0,EventProcessingUnit,ScaleOut,
1423143475839,89.5,0.0,1.0,20.0,24.0,668.0,EventProcessingUnit,ScaleOut,
1423143480840,89.5,0.0,1.0,41.0,6.0,677.0,EventProcessingUnit,ScaleOut,
1423143485839,89.5,0.0,1.0,3.0,41.0,1111.0,EventProcessingUnit,ScaleOut,
1423143490840,89.5,0.0,1.0,33.0,11.0,544.0,EventProcessingUnit,ScaleOut,
1423143495840,89.5,0.0,1.0,26.0,18.0,968.0,EventProcessingUnit,ScaleOut,
1423143500841,89.5,0.0,1.0,8.0,18.0,887.0,
1423143505841,89.5,0.0,1.0,31.0,1.0,539.0,
1423143510841,90.6,0.0,1.0,8.0,20.0,1137.0,
1423143515843,90.6,0.0,1.0,15.0,11.0,723.0,
