1423145262148,67.5,1.0,-1.0,-1.0,-1.0,
1423145267153,67.5,1.0,-1.0,-1.0,-1.0,
1423145272162,67.5,1.0,-1.0,-1.0,-1.0,
1423145277166,67.5,1.0,-1.0,-1.0,-1.0,
1423145282164,67.5,1.0,-1.0,-1.0,-1.0,
1423145287165,67.5,1.0,-1.0,-1.0,-1.0,
1423145292165,67.5,1.0,-1.0,-1.0,-1.0,
1423145297166,67.5,1.0,-1.0,-1.0,-1.0,
1423145302166,0.7,1.0,177.0,19.0,809.0,
1423145307168,0.7,1.0,9.0,4.0,527.0,
1423145312169,0.7,1.0,7.0,6.0,914.0,
1423145317183,0.7,1.0,3.0,10.0,863.0,
1423145322185,83.6,1.0,13.0,0.0,483.0,
1423145327187,83.6,1.0,3.0,9.0,1139.0,
1423145332197,83.6,1.0,7.0,5.0,656.0,
1423145337194,83.6,1.0,10.0,3.0,765.0,EventProcessingUnit,ScaleOut,
1423145342196,87.9,1.0,1.0,10.0,1093.0,EventProcessingUnit,ScaleOut,
1423145347198,87.9,1.0,10.0,3.0,540.0,EventProcessingUnit,ScaleOut,
1423145352198,87.9,1.0,6.0,7.0,956.0,EventProcessingUnit,ScaleOut,
1423145357203,87.9,1.0,2.0,9.0,1012.0,EventProcessingUnit,ScaleOut,
1423145362203,90.9,1.0,12.0,1.0,518.0,EventProcessingUnit,ScaleOut,
1423145367204,90.9,1.0,5.0,5.0,1309.0,EventProcessingUnit,ScaleOut,
1423145372206,90.9,1.0,6.0,6.0,712.0,EventProcessingUnit,ScaleOut,
1423145377204,90.9,1.0,10.0,4.0,717.0,EventProcessingUnit,ScaleOut,
1423145382210,93.4,1.0,0.0,10.0,1300.0,EventProcessingUnit,ScaleOut,
1423145387216,93.4,1.0,12.0,2.0,503.0,EventProcessingUnit,ScaleOut,
1423145392223,93.4,1.0,5.0,7.0,1084.0,EventProcessingUnit,ScaleOut,
1423145397225,93.4,1.0,5.0,7.0,750.0,EventProcessingUnit,ScaleOut,
1423145402230,93.4,1.0,12.0,2.0,702.0,EventProcessingUnit,ScaleOut,
1423145407233,93.4,1.0,0.0,9.0,1556.0,EventProcessingUnit,ScaleOut,
1423145412235,93.4,1.0,9.0,5.0,558.0,EventProcessingUnit,ScaleOut,
1423145417244,93.4,1.0,8.0,6.0,887.0,EventProcessingUnit,ScaleOut,
1423145422253,93.4,1.0,0.0,8.0,1250.0,EventProcessingUnit,ScaleOut,
1423145427257,93.4,1.0,10.0,2.0,578.0,EventProcessingUnit,ScaleOut,
1423145432260,93.4,1.0,7.0,6.0,1011.0,EventProcessingUnit,ScaleOut,
1423145437266,93.4,1.0,4.0,7.0,870.0,EventProcessingUnit,ScaleOut,
