Time ,cpu_idle ,connectionRate ,instance , ongoingAction, targetedNodeID
1423143350760,95.2,20.0,1.0,EventProcessingUnit,ScaleOut,
1423143355769,95.2,20.0,1.0,EventProcessingUnit,ScaleOut,
1423143360770,94.4,48.0,1.0,EventProcessingUnit,ScaleOut,
1423143365764,95.3,30.0,1.0,EventProcessingUnit,ScaleOut,
1423143370773,95.3,30.0,1.0,EventProcessingUnit,ScaleOut,
1423143375782,95.3,74.0,1.0,EventProcessingUnit,ScaleOut,
1423143380770,95.3,52.0,1.0,EventProcessingUnit,ScaleOut,
1423143385783,95.3,52.0,1.0,EventProcessingUnit,ScaleOut,
1423143390774,94.9,59.0,1.0,EventProcessingUnit,ScaleOut,
1423143395774,95.8,67.0,1.0,EventProcessingUnit,ScaleOut,
1423143400775,95.8,41.0,1.0,EventProcessingUnit,ScaleOut,
1423143405779,95.8,41.0,1.0,EventProcessingUnit,ScaleOut,
1423143410782,95.0,73.0,1.0,EventProcessingUnit,ScaleOut,
1423143415785,94.8,23.0,1.0,EventProcessingUnit,ScaleOut,
1423143420792,94.8,57.0,1.0,EventProcessingUnit,ScaleOut,
1423143425799,95.2,57.0,1.0,EventProcessingUnit,ScaleOut,
1423143430808,95.2,24.0,1.0,EventProcessingUnit,ScaleOut,
1423143435817,94.9,71.0,1.0,EventProcessingUnit,ScaleOut,
1423143440843,94.9,33.0,1.0,EventProcessingUnit,ScaleOut,
1423143445831,95.3,43.0,1.0,EventProcessingUnit,ScaleOut,
1423143450832,95.3,67.0,1.0,EventProcessingUnit,ScaleOut,
1423143455837,95.3,67.0,1.0,EventProcessingUnit,ScaleOut,
1423143460844,93.1,20.0,1.0,EventProcessingUnit,ScaleOut,
1423143465837,89.3,50.0,1.0,EventProcessingUnit,ScaleOut,
1423143470838,89.3,29.0,1.0,EventProcessingUnit,ScaleOut,
1423143475839,95.7,69.0,1.0,EventProcessingUnit,ScaleOut,
1423143480840,95.7,30.0,1.0,EventProcessingUnit,ScaleOut,
1423143485839,95.3,49.0,1.0,EventProcessingUnit,ScaleOut,
1423143490840,95.3,63.0,1.0,EventProcessingUnit,ScaleOut,
1423143495840,95.1,18.0,1.0,EventProcessingUnit,ScaleOut,
1423143500841,95.1,67.0,1.0,
1423143505841,95.4,47.0,1.0,
1423143510841,95.4,22.0,1.0,
1423143515843,96.3,86.0,1.0,
1423143520841,96.3,30.0,1.0,
1423143525841,95.2,44.0,1.0,
1423143530881,95.2,73.0,1.0,
1423143535849,94.6,14.0,1.0,
1423143540850,94.6,14.0,1.0,
1423143545843,95.4,62.0,1.0,
1423143550869,95.4,62.0,1.0,
1423143555847,95.4,10.0,1.0,
1423143560848,93.3,70.0,1.0,
1423143565845,94.0,27.0,1.0,
1423143570846,94.0,86.0,1.0,
1423143575850,96.0,21.0,1.0,
1423143580846,96.0,50.0,1.0,
1423143585847,96.0,50.0,1.0,
1423143590847,93.1,13.0,1.0,
1423143595847,95.0,80.0,1.0,
1423143600848,95.0,80.0,1.0,EventProcessingUnit,ScaleOut,
1423143605855,95.8,38.0,1.0,EventProcessingUnit,ScaleOut,
1423143610861,95.8,80.0,1.0,EventProcessingUnit,ScaleOut,
1423143615862,94.8,12.0,1.0,EventProcessingUnit,ScaleOut,
1423143620864,94.8,57.0,1.0,EventProcessingUnit,ScaleOut,
1423143625871,95.2,57.0,1.0,EventProcessingUnit,ScaleOut,
1423143630878,95.2,17.0,1.0,EventProcessingUnit,ScaleOut,
1423143635883,95.2,83.0,1.0,EventProcessingUnit,ScaleOut,
