Time ,cost , ongoingAction, targetedNodeID
1423143470838,0.0471,EventProcessingUnit,ScaleOut,
1423143475839,0.0331,EventProcessingUnit,ScaleOut,
1423143480840,0.0486,EventProcessingUnit,ScaleOut,
1423143485839,0.0362,EventProcessingUnit,ScaleOut,
1423143490840,0.042,EventProcessingUnit,ScaleOut,
1423143495840,0.0486,EventProcessingUnit,ScaleOut,
1423143500841,0.054,
1423143505841,0.0821,
1423143510841,0.0899,
1423143515843,0.0651,
1423143520841,0.0859,
1423143525841,0.1049,
1423143530881,0.0609,
1423143535849,0.0899,
1423143540850,0.0899,
1423143545843,0.0675,
1423143550869,0.0675,
1423143555847,0.0899,
1423143560848,0.018,
1423143565845,0.0484,
1423143570846,0.0525,
1423143575850,0.07,
1423143580846,0.0337,
1423143585847,0.0337,
1423143590847,0.0484,
1423143595847,0.0461,
1423143600848,0.0461,EventProcessingUnit,ScaleOut,
1423143605855,0.0411,EventProcessingUnit,ScaleOut,
1423143610861,0.0511,EventProcessingUnit,ScaleOut,
1423143615862,0.0651,EventProcessingUnit,ScaleOut,
1423143620864,0.0363,EventProcessingUnit,ScaleOut,
1423143625871,0.0651,EventProcessingUnit,ScaleOut,
1423143630878,0.0511,EventProcessingUnit,ScaleOut,
1423143635883,0.0394,EventProcessingUnit,ScaleOut,
1423143640887,0.0651,EventProcessingUnit,ScaleOut,
1423143645893,0.0411,EventProcessingUnit,ScaleOut,
1423143650896,0.0511,EventProcessingUnit,ScaleOut,
1423143655896,0.0609,EventProcessingUnit,ScaleOut,
1423143660902,0.0356,EventProcessingUnit,ScaleOut,
1423143665915,0.07,EventProcessingUnit,ScaleOut,
1423143670908,0.042,EventProcessingUnit,ScaleOut,
1423143675909,0.0429,EventProcessingUnit,ScaleOut,
1423143680910,0.0994,EventProcessingUnit,ScaleOut,
1423143685917,0.0402,EventProcessingUnit,ScaleOut,
1423143690919,0.0511,EventProcessingUnit,ScaleOut,
1423143695924,0.054,EventProcessingUnit,ScaleOut,
1423143700923,0.042,EventProcessingUnit,ScaleOut,
1423143705939,0.0756,EventProcessingUnit,ScaleOut,
1423143710944,0.0756,EventProcessingUnit,ScaleOut,
1423143715932,0.0439,EventProcessingUnit,ScaleOut,
1423143720933,0.07,EventProcessingUnit,ScaleOut,
1423143725938,0.0356,EventProcessingUnit,ScaleOut,
1423143730933,0.0609,EventProcessingUnit,ScaleOut,
1423143735943,0.0497,EventProcessingUnit,ScaleOut,
1423143740941,0.0429,EventProcessingUnit,ScaleOut,
1423143745937,0.0787,EventProcessingUnit,ScaleOut,
1423143750939,0.0402,EventProcessingUnit,ScaleOut,
1423143755941,0.0525,EventProcessingUnit,ScaleOut,
1423143760941,0.063,EventProcessingUnit,ScaleOut,
1423143765942,0.0439,EventProcessingUnit,ScaleOut,
1423143770943,0.0944,EventProcessingUnit,ScaleOut,
1423143775947,0.0461,EventProcessingUnit,ScaleOut,
1423143780949,0.0461,EventProcessingUnit,ScaleOut,
1423143785947,0.045,EventProcessingUnit,ScaleOut,
1423143790954,0.0726,EventProcessingUnit,ScaleOut,
1423143795953,0.035,EventProcessingUnit,ScaleOut,
1423143800955,0.0525,EventProcessingUnit,ScaleOut,
1423143805963,0.0511,EventProcessingUnit,ScaleOut,
1423143810959,0.0756,EventProcessingUnit,ScaleOut,
1423143815961,0.045,EventProcessingUnit,ScaleOut,
1423143820966,0.0497,EventProcessingUnit,ScaleOut,
1423143825969,0.063,EventProcessingUnit,ScaleOut,
1423143830969,0.0331,EventProcessingUnit,ScaleOut,
1423143835969,0.0675,EventProcessingUnit,ScaleOut,
1423143840972,0.0511,EventProcessingUnit,ScaleOut,
1423143845969,0.0439,EventProcessingUnit,ScaleOut,
1423143850973,0.0787,EventProcessingUnit,ScaleOut,
1423143855970,0.0356,EventProcessingUnit,ScaleOut,
1423143860978,0.0572,EventProcessingUnit,ScaleOut,
1423143865979,0.0651,EventProcessingUnit,ScaleOut,
1423143870979,0.0411,EventProcessingUnit,ScaleOut,
1423143875981,0.0859,EventProcessingUnit,ScaleOut,
1423143880981,0.042,EventProcessingUnit,ScaleOut,
1423143885983,0.0823,
1423143891001,0.0823,
1423143895998,0.0556,
1423143901000,0.0556,
1423143905999,0.0766,
1423143911000,0.0635,
1423143916000,0.1307,
1423143921000,0.0694,
1423143926003,0.0823,
1423143931004,0.0285,
1423143936006,0.0505,
1423143941004,0.0517,
1423143946003,0.0741,
1423143951005,0.0412,
1423143956007,0.0794,
1423143961004,0.0556,
1423143966005,0.0529,
1423143971007,0.1235,
1423143976005,0.0454,
1423143981014,0.0585,
1423143986015,0.0635,
1423143991017,0.0427,
1423143996015,0.101,
1423144001016,0.0483,
1423144006016,0.0654,
1423144011016,0.0823,
1423144016018,0.0436,
1423144021018,0.1235,EventProcessingUnit,ScaleOut,
1423144026018,0.0529,EventProcessingUnit,ScaleOut,
1423144031021,0.0505,EventProcessingUnit,ScaleOut,
1423144036026,0.1111,EventProcessingUnit,ScaleOut,
1423144041080,0.0427,EventProcessingUnit,ScaleOut,
1423144046049,0.0794,EventProcessingUnit,ScaleOut,
1423144051056,0.0585,EventProcessingUnit,ScaleOut,
1423144056058,0.0436,EventProcessingUnit,ScaleOut,
1423144061058,0.1058,EventProcessingUnit,ScaleOut,
1423144066060,0.0444,EventProcessingUnit,ScaleOut,
1423144071068,0.0694,EventProcessingUnit,ScaleOut,
1423144076069,0.0766,EventProcessingUnit,ScaleOut,
1423144081071,0.0412,EventProcessingUnit,ScaleOut,
1423144086075,0.1058,EventProcessingUnit,ScaleOut,
1423144091083,0.0556,EventProcessingUnit,ScaleOut,
1423144096082,0.0601,EventProcessingUnit,ScaleOut,
1423144101081,0.117,EventProcessingUnit,ScaleOut,
1423144106084,0.0494,EventProcessingUnit,ScaleOut,
1423144111092,0.0766,EventProcessingUnit,ScaleOut,
1423144116091,0.0717,EventProcessingUnit,ScaleOut,
1423144121097,0.0419,EventProcessingUnit,ScaleOut,
1423144126087,0.1111,EventProcessingUnit,ScaleOut,
1423144131135,0.0473,EventProcessingUnit,ScaleOut,
1423144136101,0.0517,EventProcessingUnit,ScaleOut,
1423144141101,0.0823,EventProcessingUnit,ScaleOut,
1423144146119,0.0556,EventProcessingUnit,ScaleOut,
1423144151125,0.0601,EventProcessingUnit,ScaleOut,
1423144156138,0.0741,EventProcessingUnit,ScaleOut,
1423144161142,0.0473,EventProcessingUnit,ScaleOut,
1423144166130,0.0617,EventProcessingUnit,ScaleOut,
1423144171131,0.0635,EventProcessingUnit,ScaleOut,
1423144176136,0.0542,EventProcessingUnit,ScaleOut,
1423144181138,0.0855,EventProcessingUnit,ScaleOut,
1423144186137,0.0505,EventProcessingUnit,ScaleOut,
1423144191136,0.0654,EventProcessingUnit,ScaleOut,
1423144196134,0.0717,EventProcessingUnit,ScaleOut,
1423144201136,0.0473,EventProcessingUnit,ScaleOut,
1423144206138,0.0741,EventProcessingUnit,ScaleOut,
1423144211144,0.0717,EventProcessingUnit,ScaleOut,
1423144216143,0.0505,EventProcessingUnit,ScaleOut,
1423144221158,0.0673,EventProcessingUnit,ScaleOut,
1423144226152,0.0505,EventProcessingUnit,ScaleOut,
1423144231152,0.0601,EventProcessingUnit,ScaleOut,
1423144236152,0.0635,EventProcessingUnit,ScaleOut,
1423144241152,0.0473,EventProcessingUnit,ScaleOut,
1423144246153,0.0766,EventProcessingUnit,ScaleOut,
1423144251159,0.0556,EventProcessingUnit,ScaleOut,
1423144256159,0.0585,EventProcessingUnit,ScaleOut,
1423144261159,0.0654,EventProcessingUnit,ScaleOut,
1423144266161,0.0529,EventProcessingUnit,ScaleOut,
1423144271168,0.0654,EventProcessingUnit,ScaleOut,
1423144276161,0.0673,EventProcessingUnit,ScaleOut,
1423144281205,0.0505,EventProcessingUnit,ScaleOut,
1423144286174,0.0505,EventProcessingUnit,ScaleOut,
1423144291172,0.0483,EventProcessingUnit,ScaleOut,
1423144296233,0.0752,
1423144301218,0.0752,
1423144306214,0.0913,
1423144311214,0.0752,
1423144316214,0.0799,
1423144321214,0.0947,
1423144326234,0.0947,
1423144331223,0.0691,
1423144336228,0.0691,
1423144341252,0.1022,
1423144346242,0.0673,
1423144351261,0.0673,
1423144356242,0.0511,
1423144361336,0.0511,
1423144366385,0.0852,
1423144371387,0.0655,
1423144376392,0.0913,
1423144381392,0.0608,
1423144386396,0.0581,
1423144391463,0.073,
1423144396512,0.073,EventProcessingUnit,ScaleOut,
1423144401523,0.0881,EventProcessingUnit,ScaleOut,
1423144406520,0.0608,EventProcessingUnit,ScaleOut,
1423144411544,0.0608,EventProcessingUnit,ScaleOut,
1423144416571,0.0774,EventProcessingUnit,ScaleOut,
1423144421597,0.0532,EventProcessingUnit,ScaleOut,
1423144426598,0.0752,EventProcessingUnit,ScaleOut,
1423144431600,0.0655,EventProcessingUnit,ScaleOut,
1423144436692,0.0655,EventProcessingUnit,ScaleOut,
1423144441695,0.0913,EventProcessingUnit,ScaleOut,
1423144446698,0.0594,EventProcessingUnit,ScaleOut,
1423144451712,0.0594,EventProcessingUnit,ScaleOut,
1423144456721,0.0913,EventProcessingUnit,ScaleOut,
1423144461720,0.0544,EventProcessingUnit,ScaleOut,
1423144466747,0.0852,EventProcessingUnit,ScaleOut,
1423144471761,0.0673,EventProcessingUnit,ScaleOut,
1423144476754,0.0639,EventProcessingUnit,ScaleOut,
1423144481768,0.0881,EventProcessingUnit,ScaleOut,
1423144486766,0.0581,EventProcessingUnit,ScaleOut,
1423144491767,0.0691,EventProcessingUnit,ScaleOut,
1423144496765,0.0881,EventProcessingUnit,ScaleOut,
1423144501770,0.0556,EventProcessingUnit,ScaleOut,
1423144506768,0.0947,EventProcessingUnit,ScaleOut,
1423144511768,0.0852,EventProcessingUnit,ScaleOut,
1423144516768,0.0639,EventProcessingUnit,ScaleOut,
1423144521768,0.0947,EventProcessingUnit,ScaleOut,
1423144526771,0.0556,EventProcessingUnit,ScaleOut,
1423144531771,0.0752,EventProcessingUnit,ScaleOut,
1423144536770,0.0799,EventProcessingUnit,ScaleOut,
1423144541767,0.0544,EventProcessingUnit,ScaleOut,
1423144546779,0.0852,EventProcessingUnit,ScaleOut,
1423144551775,0.0522,EventProcessingUnit,ScaleOut,
1423144556771,0.0655,EventProcessingUnit,ScaleOut,
1423144561776,0.1022,EventProcessingUnit,ScaleOut,
1423144566777,0.0532,EventProcessingUnit,ScaleOut,
1423144571780,0.0774,EventProcessingUnit,ScaleOut,
1423144576786,0.073,EventProcessingUnit,ScaleOut,
1423144581791,0.0594,EventProcessingUnit,ScaleOut,
1423144586794,0.0983,EventProcessingUnit,ScaleOut,
1423144591793,0.0673,EventProcessingUnit,ScaleOut,
1423144596797,0.0691,EventProcessingUnit,ScaleOut,
1423144601797,0.0824,EventProcessingUnit,ScaleOut,
1423144606799,0.0608,EventProcessingUnit,ScaleOut,
1423144611801,0.0752,EventProcessingUnit,ScaleOut,
