Time ,connectionRate ,cpuUsage ,instances ,cost , ongoingAction, targetedNodeID
1423144776928,64.0,3.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144781929,48.0,3.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144786932,26.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144791937,85.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144796943,20.0,6.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144801950,53.0,6.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144806953,64.0,7.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144811962,9.0,7.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144816963,66.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144821995,48.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144826998,29.0,4.8,1.0,0.32,
1423144832000,86.0,4.8,1.0,0.32,
1423144837009,21.0,4.7,1.0,0.32,
1423144842001,53.0,4.7,1.0,0.32,
1423144847002,60.0,5.1,1.0,0.32,
1423144852004,15.0,5.1,1.0,0.32,
1423144857002,82.0,5.2,1.0,0.32,
1423144862003,32.0,5.2,1.0,0.32,
1423144867029,39.0,3.8,1.0,0.32,
1423144872009,72.0,3.8,1.0,0.32,
1423144877009,9.0,4.8,1.0,0.32,
1423144882018,51.0,4.8,1.0,0.32,
1423144887010,65.0,5.3,1.0,0.32,
1423144892011,9.0,5.3,1.0,0.32,
1423144897019,66.0,4.9,1.0,0.32,
1423144902011,49.0,4.9,1.0,0.32,
1423144907012,22.0,5.1,1.0,0.32,
1423144912014,83.0,5.1,1.0,0.32,
1423144917014,31.0,3.8,1.0,0.32,
1423144922013,40.0,3.8,1.0,0.32,
1423144927027,76.0,6.3,1.0,0.32,
1423144932014,14.0,6.3,1.0,0.32,
1423144937014,60.0,8.2,1.0,0.32,
1423144942013,55.0,8.2,1.0,0.32,
1423144947029,18.0,8.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144952021,74.0,8.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144957023,51.0,5.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144962038,24.0,5.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144967034,89.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144972030,23.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144977025,52.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144982047,61.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144987038,10.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144992040,74.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144997107,39.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145002066,26.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145007057,83.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145012057,28.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145017057,47.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145022057,81.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145027057,15.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145032060,58.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145037059,55.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145042061,20.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145047064,87.0,5.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145052064,25.0,5.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145057063,49.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145062069,68.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145067063,9.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145072064,73.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145077066,41.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145082066,33.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145087067,82.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145092065,27.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145097066,49.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145102066,65.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145107076,10.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145112075,73.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145117078,40.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145122077,34.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145127085,80.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145132094,16.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145137093,57.0,6.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145142097,54.0,6.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145147107,22.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145152118,88.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145157119,37.0,4.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145162118,37.0,4.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145167128,74.0,6.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145172123,8.0,6.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145177123,65.0,5.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145182130,48.0,5.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145187135,27.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145192137,88.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145197137,20.0,7.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145202138,54.0,7.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145207137,60.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145212139,19.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145217139,85.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145222143,50.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145227141,26.0,5.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145232142,89.0,5.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145237143,22.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145242148,51.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145247146,59.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145252147,18.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145257148,84.0,5.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145262148,30.0,5.8,1.0,0.32,
1423145267153,49.0,5.0,1.0,0.32,
1423145272162,64.0,5.0,1.0,0.32,
1423145277166,8.0,4.8,1.0,0.32,
1423145282164,71.0,4.8,1.0,0.32,
1423145287165,64.0,5.2,1.0,0.32,
1423145292165,11.0,5.2,1.0,0.32,
1423145297166,73.0,4.6,1.0,0.32,
1423145302166,39.0,4.6,1.0,0.32,
1423145307168,33.0,5.4,1.0,0.32,
1423145312169,82.0,5.4,1.0,0.32,
1423145317183,16.0,4.8,1.0,0.32,
1423145322185,59.0,4.8,1.0,0.32,
1423145327187,53.0,5.0,1.0,0.32,
1423145332197,17.0,5.0,1.0,0.32,
1423145337194,83.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145342196,28.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145347198,40.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145352198,72.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145357203,24.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145362203,51.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145367204,63.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145372206,13.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145377204,79.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145382210,32.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145387216,45.0,5.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145392223,66.0,5.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145397225,9.0,4.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145402230,75.0,4.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145407233,38.0,5.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145412235,30.0,5.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145417244,84.0,5.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145422253,36.0,5.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145427257,39.0,4.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145432260,76.0,4.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145437266,11.0,5.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145442273,63.0,5.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145447280,48.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145452288,26.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145457291,88.0,4.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145462296,22.0,4.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145467294,50.0,5.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145472301,62.0,5.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145477296,13.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145482297,74.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145487296,53.0,3.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145492295,22.0,3.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145497304,88.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145502307,24.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145507307,51.0,6.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145512307,62.0,6.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145517306,12.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145522307,73.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145527309,38.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145532313,35.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145537309,77.0,5.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145542309,14.0,5.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145547318,59.0,4.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145552312,55.0,4.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145557313,9.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145562316,70.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145567316,44.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145572321,31.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145577321,81.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145582358,16.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145587351,59.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145592356,53.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145597352,22.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145602353,88.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145607355,25.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145612354,51.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145617355,62.0,6.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145622360,15.0,6.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145627370,61.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145632371,50.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145637370,26.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145642368,86.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145647373,24.0,5.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145652372,52.0,5.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145657369,59.0,7.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145662370,17.0,7.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145667373,83.0,4.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145672377,29.0,4.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145677371,42.0,4.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145682373,69.0,4.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145687373,30.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145692372,47.0,5.0,1.0,0.32,
1423145697374,66.0,4.3,1.0,0.32,
1423145702376,9.0,4.3,1.0,0.32,
1423145707373,71.0,5.6,1.0,0.32,
1423145712374,53.0,5.6,1.0,0.32,
1423145717373,21.0,4.7,1.0,0.32,
1423145722374,84.0,4.7,1.0,0.32,
1423145727374,29.0,3.1,1.0,0.32,
1423145732377,44.0,3.1,1.0,0.32,
1423145737385,76.0,5.0,1.0,0.32,
1423145742383,11.0,5.0,1.0,0.32,
1423145747387,65.0,5.6,1.0,0.32,
1423145752386,47.0,5.6,1.0,0.32,
1423145757389,17.0,6.9,1.0,0.32,
1423145762392,83.0,6.9,1.0,0.32,
1423145767391,29.0,5.9,1.0,0.32,
1423145772391,47.0,5.9,1.0,0.32,
1423145777390,65.0,8.5,1.0,0.32,
1423145782392,12.0,8.5,1.0,0.32,
1423145787393,78.0,5.3,1.0,0.32,
1423145792392,35.0,5.3,1.0,0.32,
1423145797391,39.0,5.6,1.0,0.32,
1423145802393,74.0,5.6,1.0,0.32,
1423145807393,10.0,4.9,1.0,0.32,
1423145812394,61.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145817393,80.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145822393,16.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145827395,55.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145832397,57.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145837402,17.0,7.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145842411,82.0,7.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145847411,31.0,3.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145852412,40.0,3.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145857419,75.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145862417,10.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145867415,62.0,8.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145872426,53.0,8.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145877421,21.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145882421,86.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145887422,48.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145892422,27.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145897423,86.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145902427,23.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145907423,52.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145912424,61.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145917428,17.0,4.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145922429,83.0,4.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145927425,29.0,5.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145932456,42.0,5.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145937461,70.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145942453,10.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145947453,51.0,5.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145952457,60.0,5.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145957454,16.0,5.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145962454,82.0,5.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145967466,30.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145972461,45.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145977463,68.0,7.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145982464,9.0,7.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145987473,73.0,6.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145992473,41.0,6.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423145997475,35.0,4.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146002478,77.0,4.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146007482,11.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146012485,38.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146017484,76.0,5.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146022486,11.0,5.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146027491,63.0,4.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146032500,49.0,4.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146037504,25.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146042508,87.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146047506,19.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146052506,50.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146057507,62.0,3.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146062516,10.0,3.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146067523,77.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146072533,47.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146077530,19.0,4.8,1.0,0.32,
1423146082527,86.0,4.8,1.0,0.32,
1423146087534,27.0,3.8,1.0,0.32,
1423146092535,47.0,3.8,1.0,0.32,
1423146097540,67.0,6.5,1.0,0.32,
1423146102536,9.0,6.5,1.0,0.32,
1423146107543,72.0,4.6,1.0,0.32,
1423146112545,40.0,4.6,1.0,0.32,
1423146117559,32.0,5.2,1.0,0.32,
1423146122551,85.0,5.2,1.0,0.32,
1423146127563,21.0,5.7,1.0,0.32,
1423146132561,55.0,5.7,1.0,0.32,
1423146137566,77.0,7.7,1.0,0.32,
1423146142565,12.0,7.7,1.0,0.32,
1423146147569,61.0,4.2,1.0,0.32,
1423146152569,52.0,4.2,1.0,0.32,
1423146157597,25.0,8.1,1.0,0.32,
1423146162583,89.0,8.1,1.0,0.32,
1423146167587,22.0,5.1,1.0,0.32,
1423146172589,54.0,5.1,1.0,0.32,
1423146177588,58.0,5.2,1.0,0.32,
1423146182593,17.0,5.2,1.0,0.32,
1423146187702,78.0,5.2,1.0,0.32,
1423146192598,36.0,5.2,1.0,0.32,
1423146197606,41.0,5.0,1.0,0.32,
1423146202604,80.0,5.0,1.0,0.32,
1423146207608,34.0,4.1,1.0,0.32,
1423146212606,40.0,4.1,1.0,0.32,
1423146217609,72.0,5.7,1.0,0.32,
1423146222671,9.0,5.7,1.0,0.32,
1423146227673,72.0,4.8,1.0,0.32,
1423146232675,40.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146237678,30.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146242684,71.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146247746,40.0,5.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146252744,35.0,5.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146257750,78.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146262744,11.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146267751,38.0,3.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146272752,74.0,3.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146277754,10.0,5.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146282758,63.0,5.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146287761,50.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146292763,25.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146297763,88.0,3.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146302762,24.0,3.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146307761,41.0,4.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146312766,71.0,4.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146317771,9.0,5.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146322780,73.0,5.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146327789,39.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146332817,36.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146337821,65.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146342803,47.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146347799,29.0,5.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146352799,85.0,5.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146357799,18.0,3.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146362806,57.0,3.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146367808,56.0,5.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146372813,20.0,5.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146377836,86.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146382823,26.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146387829,51.0,3.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146392838,61.0,3.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146397842,22.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146402850,53.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146407851,60.0,3.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146412857,17.0,3.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146417863,81.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146422860,31.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146427880,44.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146432875,69.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146437884,10.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146442893,76.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146447902,36.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146452908,39.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146457953,73.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146462915,33.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146467918,42.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146472919,70.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146477917,9.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146482919,65.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146487934,51.0,5.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146492936,24.0,5.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146497941,89.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146502938,23.0,4.4,1.0,0.32,
1423146507938,56.0,5.1,1.0,0.32,
1423146512941,55.0,5.1,1.0,0.32,
1423146517940,19.0,4.8,1.0,0.32,
1423146522943,84.0,4.8,1.0,0.32,
1423146527940,63.0,4.3,1.0,0.32,
1423146532944,11.0,4.3,1.0,0.32,
1423146537942,77.0,4.9,1.0,0.32,
1423146542942,37.0,4.9,1.0,0.32,
1423146547977,40.0,5.4,1.0,0.32,
1423146552970,72.0,5.4,1.0,0.32,
1423146557963,10.0,6.9,1.0,0.32,
1423146562972,70.0,6.9,1.0,0.32,
1423146567963,44.0,5.4,1.0,0.32,
1423146572977,35.0,5.4,1.0,0.32,
1423146577964,77.0,6.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146583000,13.0,6.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146587999,62.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146593004,61.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146598009,9.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146603008,68.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146608006,54.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146613011,10.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146618012,63.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146623020,49.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146628018,26.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146633027,87.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146638027,19.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146643026,59.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146648037,53.0,5.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146653029,25.0,5.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146658035,50.0,5.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146663037,62.0,5.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146668042,16.0,6.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146673045,83.0,6.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146678055,28.0,3.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146683053,48.0,3.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146688056,65.0,5.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146693060,11.0,5.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146698064,78.0,5.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146703065,34.0,5.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146708063,44.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146713069,68.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146718071,9.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146723077,45.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146728090,66.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146733086,9.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146738093,76.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146743100,36.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423146748103,39.0,5.4,1.0,0.32,EventProcessingUnit,ScaleOut,
