Time ,connectionRate ,cpuUsage ,instances ,cost , ongoingAction, targetedNodeID
1423143305695,35.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143310707,72.0,5.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143315696,25.0,5.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143320753,56.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143325733,56.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143330740,25.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143335747,34.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143340754,34.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143345756,66.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143350760,20.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143355769,20.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143360770,48.0,5.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143365764,30.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143370773,30.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143375782,74.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143380770,52.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143385783,52.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143390774,59.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143395774,67.0,4.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143400775,41.0,4.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143405779,41.0,4.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143410782,73.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143415785,23.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143420792,57.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143425799,57.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143430808,24.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143435817,71.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143440843,33.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143445831,43.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143450832,67.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143455837,67.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143460844,20.0,6.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143465837,50.0,10.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143470838,29.0,10.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143475839,69.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143480840,30.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143485839,49.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143490840,63.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143495840,18.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143500841,67.0,4.9,1.0,0.32,
1423143505841,47.0,4.6,1.0,0.32,
1423143510841,22.0,4.6,1.0,0.32,
1423143515843,86.0,3.7,1.0,0.32,
1423143520841,30.0,3.7,1.0,0.32,
1423143525841,44.0,4.8,1.0,0.32,
1423143530881,73.0,4.8,1.0,0.32,
1423143535849,14.0,5.4,1.0,0.32,
1423143540850,14.0,5.4,1.0,0.32,
1423143545843,62.0,4.6,1.0,0.32,
1423143550869,62.0,4.6,1.0,0.32,
1423143555847,10.0,4.6,1.0,0.32,
1423143560848,70.0,6.7,1.0,0.32,
1423143565845,27.0,6.0,1.0,0.32,
1423143570846,86.0,6.0,1.0,0.32,
1423143575850,21.0,4.0,1.0,0.32,
1423143580846,50.0,4.0,1.0,0.32,
1423143585847,50.0,4.0,1.0,0.32,
1423143590847,13.0,6.9,1.0,0.32,
1423143595847,80.0,5.0,1.0,0.32,
1423143600848,80.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143605855,38.0,4.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143610861,80.0,4.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143615862,12.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143620864,57.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143625871,57.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143630878,17.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
